signal_code,osm_node_id,x_coord,y_coord,reference_cycle_length
T|↕|L0|T1|R0|,325207488,80.2183539,12.9874212,90
T|↕|L0|T1|R0|,338406694,80.2182553,12.9874489,90
T|↕|L0|T1|R0|,338406779,80.2195683,12.9916263,90
T|↕|L0|T1|R1|,7111954112,80.2196615,12.9915116,90
T|↕|L0|T1|R0|,2142536482,80.2196466,12.991402,90
T|↕|L0|T1|R0|,338406792,80.219489,12.9916067,90
T|↔|L0|T1|R2|,268789820,80.2402074,13.0067417,90
T|↕|L2|T2|R3|,319489540_1183430691_246866721,80.251756,12.9863676,90
T|↔|L2|T2|R3|,243051703_312031412,80.2516623,13.006728,90
T|↔|L2|T2|R3|,1454664555_4113412285_338470503_1454664553,80.2432119,12.9813238,90
T|↔|L1|T2|R2|,310102870_312031374,80.2474589,13.0067073,90
T|↕|L2|T2|R3|,310535870_30268467_310102882,80.2513935,12.9878632,90
